Steward,Boat Launch,Weather Conditions,Date,Inspection Time,Boat Type,Group Size,State of Registration,Launch or Retrieve,Prior BLS contact?,Spread Prevention Steps,Aquatic Organisms Found?,Species ID,Accepted Info Materials?,Last Waterbody Visited,Last Waterbody Cleaned,Next Waterbody to Visit,Next Waterbody Cleaned,Planned Travel Route,Would Use a Decontamination Station?,Purpose,Notes
4,Cape Vincent,"Hazey, water fairly calm",6/26/2016,12:50:00,M,2,NY,L,N,CDD,N,N/A,Y,N/A,N/A,Cape Vincent|Millers Bay,"Cape Vincent, NY|Millers Bay, NY",Local roads,N/A,N/A,
4,Cape Vincent,"Hazey, water fairly calm",6/26/2016,13:45:00,M,3,NY,R,Y,CDD,N,N/A,N,Mud Bay,"Mud Bay, NY",Cape Vincent,"Cape Vincent, NY",Local roads,N/A,N/A,
4,Cape Vincent,"Sunny, low breeze, calm water",7/1/2016,14:10:00,M,2,NY,L,Y,CDD,N,N/A,N,Mud Bay,"Mud Bay, NY",Cape Vincent,"Cape Vincent, NY",Rt 12E and Rt 3,N/A,N/A,
4,Cape Vincent,"Sunny, low breeze, calm water",7/1/2016,11:10:00,M,3,NY,L,N,DB,N,N/A,N,Cape Vincent|St. Lawrence River,"Cape Vincent, NY|St. Lawrence River",Cape Vincent|St. Lawrence River,"Cape Vincent, NY|St. Lawrence River",Rt 12E,Y,Recreation,
4,Cape Vincent,"Sunny, low breeze, calm water",7/1/2016,11:15:00,M,2,NY,R,Y,CDD,N,N/A,N,Cape Vincent|St. Lawrence River,"Cape Vincent, NY|St. Lawrence River",Cape Vincent|St. Lawrence River,"Cape Vincent, NY|St. Lawrence River",Rt 12,N,Recreation,
4,Cape Vincent,"Sunny, low breeze, calm water",7/1/2016,11:30:00,M,1,NY,R,Y,CDD,N,N/A,N,St. Lawrence River,St. Lawrence River,"Henderson, Lake Ontario","Henderson Harbor, NY",Rt 12 and Rt 3,N,Fishing,
4,Cape Vincent,"Sunny, low breeze, calm water",7/1/2016,11:45:00,M,4,NY,R,N,DRY,Y,CLP,Y,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,Y,Recreation,
4,Cape Vincent,"Sunny, low breeze, calm water",7/1/2016,11:50:00,M,2,NY,L,Y,CDD,N,N/A,Y,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,N,Recreation,
4,Cape Vincent,"Sunny, low breeze, calm water",7/1/2016,12:30:00,M,2,NY,R,Y,RW,N,N/A,N,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,N,Recreation,
4,Cape Vincent,"Sunny, low breeze, calm water",7/1/2016,12:30:00,M,3,NY,L,N,None,N,N/A,Y,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,N,Recreation,
4,Cape Vincent,"Sunny, low breeze, calm water",7/1/2016,13:15:00,M,2,NY,L,N,"WB,DB",N,N/A,N,N/A,N/A,Cape Vincent,"Cape Vincent, NY",Local roads,N,Recreation, Boater stays in docks
4,Cape Vincent,"Sunny, low breeze, calm water",7/1/2016,13:20:00,PWC,2,NY,L,N,"RW,WB",N,N/A,N,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,N,Recreation,
4,Cape Vincent,"Sunny, low breeze, calm water",7/1/2016,14:00:00,M,5,NY,L,N,None,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,Recreation,
4,Cape Vincent,"20 mph winds, somewhat cloudy, whitecaps everywhere",7/2/2016,13:20:00,PWC,3,NY,L,Y,CDD,N,N/A,N,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,Y,Recreation, Small craft advisory through Sunday 
4,Cape Vincent,"20 mph winds, somewhat cloudy, whitecaps everywhere",7/2/2016,13:45:00,M,3,NY,L,N,"WB,DB",N,N/A,Y,Mud Bay,"Mud Bay, NY",Clayton,"Clayton, NY",Rt 12E,Y,Recreation,
4,Cape Vincent,"20 mph winds, somewhat cloudy, whitecaps everywhere",7/2/2016,15:15:00,PWC,1,NY,L,N,None,N,N/A,Y,Cape Vincent,"Cape Vincent, NY",Lake Ontario,Lake Ontario,Rt 3,Y,Recreation,
4,Cape Vincent,"20 mph winds, somewhat cloudy, whitecaps everywhere",7/2/2016,15:30:00,M,2,NY,L,Y,"WB,DB",N,N/A,Y,Clayton|Millers Bay,"Clayton, NY|Millers Bay, NY",Alexandria Bay,Alexandria Bay,By Water,Y,Recreation,
4,Cape Vincent,"Clear, warm, calm water",7/3/2016,9:05:00,M,3,NY,L,N,"DB,WB",N,N/A,N,Alex Bay,Alexandria Bay,Clayton,"Clayton, NY",Rt 12E,N,Recreation,
4,Cape Vincent,"Sunny, clear, slight breeze, calm water",7/3/2016,11:00:00,M,2,NY,L,Y,CDD,N,N/A,N,Burnham Point State Park,"Burnham Point State Park, NY",Henderson,"Henderson Harbor, NY",Rt 12 and Rt 3,Y,Recreation,
4,Cape Vincent,"Clear, warm, calm water",7/3/2016,9:07:00,PWC,2,NY,L,N,"DB,WB",N,N/A,N,Burnham Point State Park,"Burnham Point State Park, NY",Alex Bay,Alexandria Bay,Rt 12E,N,Recreation,
4,Cape Vincent,"Sunny, clear, slight breeze, calm water",7/3/2016,11:05:00,PWC,3,NY,L,N,"WB,DRY",N,N/A,N,Alex Bay,Alexandria Bay,Clayton,"Clayton, NY",By Water,N,Recreation,
4,Cape Vincent,"Clear, warm, calm water",7/3/2016,9:20:00,M,2,NY,L,Y,WB,N,N/A,Y,Cape Vincent,"Cape Vincent, NY",Alex Bay,Alexandria Bay,Rt 12E,N,Recreation,
4,Cape Vincent,"Sunny, clear, slight breeze, calm water",7/3/2016,11:10:00,M,2,NY,L,Y,CDD,N,N/A,N,Cape Vincent,"Cape Vincent, NY",Carleton Island,"Carleton Island, NY",By Water,N,Recreation,
4,Cape Vincent,"Clear, warm, calm water",7/3/2016,9:30:00,M,3,NY,L,Y,"WB,DRY",Y,"CLP,EG,VLM",Y,Oswego,"Oswego, NY",Alex Bay,Alexandria Bay,Rt 12E,N,Recreation,
4,Cape Vincent,"Sunny, clear, slight breeze, calm water",7/3/2016,11:15:00,M,3,NY,L,N,CDD,N,N/A,N,Cape Vincent,"Cape Vincent, NY",Carleton Island,"Carleton Island, NY",By Water,N,Recreation,
4,Cape Vincent,"Clear, warm, calm water",7/3/2016,10:15:00,M,2,NY,L,Y,"RW,DB,WB",N,N/A,Y,Mud Bay,"Mud Bay, NY",Carleton Island,"Carleton Island, NY",By Water,Y,Recreation,
4,Cape Vincent,"Sunny, clear, slight breeze, calm water",7/3/2016,11:20:00,M,2,NY,L,N,"WB,BB",N,N/A,Y,Millers Bay,"Millers Bay, NY",Chaumont Bay,"Chaumont Bay, NY",Rt 3,N,Recreation,
4,Cape Vincent,"Sunny, clear, slight breeze, calm water",7/3/2016,13:10:00,K,2,NY,L,N,"DB,WB",N,N/A,Y,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,N,Recreation,
4,Cape Vincent,"Clear, warm, calm water",7/3/2016,10:20:00,M,2,NY,L,Y,DB,Y,"EG,VLM",Y,Black Pond,"Black Pond, NY",Chaumont Bay,"Chaumont Bay, NY",Rt 3,Y,Recreation,
4,Cape Vincent,"Sunny, clear, slight breeze, calm water",7/3/2016,13:15:00,M,1,NY,L,Y,"DRY,WB",Y,EG,N,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,Maybe,Recreation,
4,Cape Vincent,"Clear, warm, calm water",7/3/2016,10:25:00,M,2,NY,L,N,"CDD,WB",N,N/A,Y,Mud Bay,"Mud Bay, NY",Black River,"Black River, NY",Rt 3,N,Recreation,
4,Cape Vincent,"Sunny, clear, slight breeze, calm water",7/3/2016,13:30:00,M,2,NY,R,Y,"DB,WB",N,N/A,Y,Chaumont Bay,"Chaumont Bay, NY",Sackets Harbor,"Sackets Harbor, NY",Rt 3,N,Recreation,
4,Cape Vincent,"Clear, warm, calm water",7/3/2016,10:30:00,PWC,1,NY,L,Y,"WB,RW",N,N/A,N,Burnham Point State Park,"Burnham Point State Park, NY",Oswego area,"Oswego, NY",I 81,N,Recreation,
4,Cape Vincent,"Sunny, clear, slight breeze, calm water",7/3/2016,13:40:00,M,3,NY,L,N,CDD,N,N/A,Y,Dexter,"Dexter, NY",Clayton,"Clayton, NY",Rt 12,N,Recreation,
4,Cape Vincent,"Clear, warm, calm water",7/3/2016,10:45:00,M,2,NY,L,N,CDD,N,N/A,Y,None,None,Clayton,"Clayton, NY",Rt 12,N,Recreation,
4,Cape Vincent,"Sunny, clear, slight breeze, calm water",7/3/2016,14:00:00,K,2,NY,L,Y,"DB,WB,DRY",N,N/A,Y,Cape Vincent,"Cape Vincent, NY",Alex Bay,Alexandria Bay,By Water,Y,Recreation,
4,Cape Vincent,"Clear, warm, calm water",7/3/2016,10:50:00,M,5,NY,L,N,"WB,DB",Y,EG,N,1000 Islands,"Thousand Islands, NY",Millers Bay,"Millers Bay, NY",Rt 12,Y,N/A,
4,Cape Vincent,"Clear, sunny, breezy, calm water",7/7/2016,11:45:00,M,8,NY,L,Y,"RW,WB",Y,"CLP,EG",Y,Sackets Harbor,"Sackets Harbor, NY",Alex Bay,Alexandria Bay,By Water,Y,N/A,
4,Cape Vincent,"Clear, sunny, breezy, calm water",7/7/2016,13:20:00,PWC,2,NY,L,N,WB,N,N/A,Y,"Beadle Point, NY","Beadle Point, NY",Cape Vincent,"Cape Vincent, NY",Rt 12,N,N/A,
4,Cape Vincent,"Clear, sunny, breezy, calm water",7/7/2016,15:00:00,M,3,NY,L,Y,"RW,WB",N,N/A,N,N/A,N/A,Carleton Island,"Carleton Island, NY",By Water,N,N/A,
4,Cape Vincent,"Clear, sunny, breezy, calm water",7/7/2016,15:30:00,M,2,NY,L,Y,"WB,DB",N,N/A,Y,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Rt 12,N,N/A,
4,Cape Vincent,"Overcast, breezy, few whitecaps",7/8/2016,9:30:00,M,1,NY,L,Y,CDD,N,N/A,N,Henderson Harbor,"Henderson Harbor, NY",Mud Bay,"Mud Bay, NY",By water,Y,Fishing," RE: mossy pond scum: ""I see it everywhere on rocks, bright green and clumps when on water"""
4,Cape Vincent,"Overcast, breezy, few whitecaps",7/8/2016,10:00:00,PWC,2,NY,L,N,"WB,RW",N,N/A,Y,Burnham Point State Park,"Burnham Point State Park, NY",Three Mile Bay,"Three Mile Bay, NY",Rt 3,Y,Recreation,
4,Cape Vincent,"Overcast, breezy, few whitecaps",7/8/2016,10:20:00,M,2,NY,L,Y,"WB,DB",N,N/A,N,Millers Bay,"Millers Bay, NY",Cape Vincent,"Cape Vincent, NY",Rt 12E and local rds,Y,Fishing,
4,Cape Vincent,"Overcast, breezy, few whitecaps",7/8/2016,10:25:00,M,3,VT,L,Y,"DB,RW",N,N/A,N,Burnham Point State Park,"Burnham Point State Park, NY",Lake Ontario,Lake Ontario,Water,N,Recreation,
4,Cape Vincent,"Overcast, breezy, few whitecaps",7/8/2016,11:10:00,M,3,NY,R,N,"DB,WB",Y,Other,Y,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,Y,Recreation,
4,Cape Vincent,"Overcast, breezy, few whitecaps",7/8/2016,11:50:00,M,2,NY,R,Y,"DB,RW,WB",Y,Other,N,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,N,Recreation,
4,Cape Vincent,"Overcast, breezy, few whitecaps",7/8/2016,13:25:00,M,2,NY,R,Y,CDD,N,N/A,Y,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,N,Recreation,
4,Cape Vincent,"Overcast, breezy, few whitecaps",7/8/2016,15:30:00,M,3,NY,L,Y,"WB,DB",N,N/A,N,Mud Bay,"Mud Bay, NY",Millers Bay,"Millers Bay, NY",Rt 12E,N,Recreation,
4,Cape Vincent,"Overcast, breezy, few whitecaps",7/8/2016,15:45:00,M,3,NY,L,N,CDD,N,N/A,Y,Three Mile Bay,"Three Mile Bay, NY",Westcott,"Westcott, NY",Rt 3,N,Recreation,
4,Cape Vincent,"Overcast, breezy, calm water",7/9/2016,9:45:00,M,2,NY,R,Y,CDD,N,N/A,N,Millers Bay,"Millers Bay, NY",Mud Bay,"Mud Bay, NY",Rt 3,Y,N/A,
4,Cape Vincent,"Overcast, breezy, calm water",7/9/2016,14:45:00,M,2,NY,L,Y,CDD,N,N/A,N,Chaumont Bay,"Chaumont Bay, NY",St. Lawrence River,St. Lawrence River,Rt 12E,N,N/A,
4,Cape Vincent,"Cloudy, overcast, strong wind, rough water",7/10/2016,9:30:00,M,2,NY,R,Y,CDD,N,N/A,Y,Henderson,"Henderson Harbor, NY",Alex Bay,Alexandria Bay,Rt 12E,N,N/A, Not a good day for small watercraft
4,Cape Vincent,"Cloudy, overcast, strong wind, rough water",7/10/2016,9:45:00,M,2,NY,R,Y,CDD,N,N/A,N,Mud Bay,"Mud Bay, NY",Three Mile Bay,"Three Mile Bay, NY",Rt 3,N,N/A,
4,Cape Vincent,"Cloudy, overcast, strong wind, rough water",7/10/2016,9:55:00,M,2,NY,R,N,"WB,DB",N,N/A,Y,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,N,N/A,
4,Cape Vincent,"Cloudy, overcast, strong wind, rough water",7/10/2016,10:30:00,M,3,NY,R,Y,"WB,RW,DB",N,N/A,N,Burnham Point State Park,"Burnham Point State Park, NY",Salmon River|Port Ontario,"Salmon River, NY|Port Ontario, NY",I 81,Maybe,N/A,
4,Cape Vincent,"Hazey, breezy, hot",7/13/2016,9:20:00,M,2,NY,L,Y,"WB,DB",N,N/A,N,Cape Vincent,"Cape Vincent, NY",Millers Bay,"Millers Bay, NY",Rt 12E,N,N/A,
4,Cape Vincent,"Hazey, breezy, hot",7/13/2016,9:30:00,M,1,NY,L,Y,"RW,DB",N,N/A,N,1000 Islands,"Thousand Islands, NY",Grenadier Island,"Grenadier Island, NY",By Water,N,N/A,
4,Cape Vincent,"Hazey, breezy, hot",7/13/2016,10:30:00,M,3,NY,L,N,"DB,WB,RW",N,N/A,Y,Chaumont Bay,"Chaumont Bay, NY",Chaumont Bay,"Chaumont Bay, NY",Rt 3,Y,N/A,
4,Cape Vincent,"Hazey, breezy, hot",7/13/2016,10:35:00,M,4,NY,L,N,"DB,WB,RW",N,N/A,Y,Sackets Harbor,"Sackets Harbor, NY",Sackets Harbor,"Sackets Harbor, NY",Rt 3,N,N/A,
4,Cape Vincent,Rainy then sunny with strong wind,7/14/2016,15:00:00,M/S,4,FL,Neither,N,WB,N,N/A,Y,None,None,Cape Vincent,"Cape Vincent, NY",Local roads,Y,Recreation," The party neither launched nor retrieved because they ""sat at boat launch in order to fix boat. Still not on water"""
4,Cape Vincent,"Sunny, clear, hot, no breeze",7/15/2016,10:13:00,M,2,NY,L,Y,"WB,DB",N,N/A,Y,Henderson Harbor,"Henderson Harbor, NY",Alex Bay,Alexandria Bay,Rt 12E,Y,Fishing,
4,Cape Vincent,"Sunny, clear, hot, no breeze",7/15/2016,10:40:00,M,2,NY,L,Y,"WB,DB",N,N/A,Y,Cape Vincent,"Cape Vincent, NY",Cape Vincent|Millers Bay,"Cape Vincent, NY|Millers Bay, NY",Local roads and Rt 12E,Y,Fishing,
4,Cape Vincent,"Sunny, clear, hot, no breeze",7/15/2016,11:20:00,PWC,2,NY,R,Y,WB,N,N/A,N,Cape Vincent,"Cape Vincent, NY",Mud Bay|Point Penninsula,"Mud Bay, NY|Point Penninsula, NY",Rt 12 and Rt 12E,Y,Recreation,
4,Cape Vincent,"Sunny, clear, hot, no breeze",7/15/2016,13:10:00,M,2,NY,R,Y,CDD,Y,EG,N,Salmon River,"Salmon River, NY",Three Mile Bay|Chaumont Bay,"Three Mile Bay, NY|Chaumont Bay, NY",Rt 12 and Rt 3,Y,Fishing,
4,Cape Vincent,"Sunny, clear, hot, no breeze",7/15/2016,13:15:00,M,2,NY,R,Y,CDD,N,N/A,N,Henderson,"Henderson Harbor, NY",Black Pond,"Black Pond, NY",Rt 3,Y,Fishing,
4,Cape Vincent,"Sunny, clear, hot, no breeze",7/15/2016,13:45:00,M,2,NY,L,Y,CDD,N,N/A,N,Ontario,Lake Ontario,St. Lawrence River,St. Lawrence River,Not specified,Y,Fishing,
4,Cape Vincent,"Sunny, clear, hot, no breeze",7/15/2016,14:00:00,M,2,NY,R,N,"WB,RW",N,N/A,Y,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Not specified,Y,N/A,
4,Cape Vincent,"Sunny, clear, calm water",7/17/2016,14:10:00,M,3,VA,R,N,"WB,RW,DRY",N,N/A,Y,1000 Islands,"Thousand Islands, NY",Chaumont Bay,"Chaumont Bay, NY",Rt 3,N/A,N/A,
4,Cape Vincent,"Clear, sunny, calm water",7/20/2016,10:10:00,M,1,NY,R,Y,CDD,N,N/A,N,Salmon River,"Salmon River, NY",Chaumont Bay,"Chaumont Bay, NY",Rt 3,N/A,N/A,
4,Cape Vincent,"Clear, sunny, calm water",7/20/2016,10:45:00,M,1,ON ,L,N,"WB,DB",N,N/A,Y,St. Lawrence River|1000 Islands,St. Lawrence River|Thousand Islands,Three Mile Bay,"Three Mile Bay, NY",Rt 3,N/A,N/A,
4,Cape Vincent,"Clear, sunny, calm water",7/20/2016,11:00:00,M,2,ON ,L,N,"RW,WB",Y,EG,Y,St. Lawrence River|1000 Islands,St. Lawrence River|Thousand Islands,St. Lawrence River,St. Lawrence River,Local roads and Rt 12E,N/A,N/A,
4,Cape Vincent,"Clear, sunny, calm water",7/20/2016,11:20:00,M,2,MD,R,N,"WB,RW",N,N/A,N,Delaware River,"Delaware River, PA",Lake Placid,"Lake Placid, NY",I 90,N/A,N/A,
4,Cape Vincent,"Clear, sunny, calm water",7/20/2016,12:45:00,M,2,NJ,L,N,"WB,DB",Y,VLM,Y,Toms River|Delaware River,"Toms River, NJ|Delaware River, PA",Lake Champlain,Lake Champlain,I 90,N/A,N/A,
4,Cape Vincent,"Clear, sunny, calm water",7/20/2016,13:20:00,M,1,PA,L,N,"RW,DB",N,N/A,N,Allegheny River,Allegheny River,Poconos Region,"Poconos, PA",I 81,N/A,N/A,
4,Cape Vincent,"Clear, sunny, calm water",7/20/2016,13:30:00,M,2,MI,R,N,"WB,DRY",N,N/A,N,Lake Erie,Lake Erie,Lake Champlain,Lake Champlain,I 90,N/A,N/A,
4,Cape Vincent,"Clear, sunny, calm water",7/20/2016,14:45:00,M,2,TX,R,N,CDD,Y,"EG,Other",Y,"Lake Pontchartrain, Louisiana","Lake Pontchartrain, LA",Cape Vincent|St. Lawrence River,"Cape Vincent, NY|St. Lawrence River",Local roads,N/A,N/A,
4,Cape Vincent,"Clear, sunny, calm water",7/20/2016,15:10:00,M,1,OH,R,N,"WB,DRY,RW",N,N/A,N,Lake Erie,Lake Erie,Alex Bay,Alexandria Bay,Rt 12E,N/A,N/A,
4,Cape Vincent,"Clear, sunny, calm water",7/20/2016,15:20:00,M,2,NY,R,Y,CDD,Y,EG,N,Raquette Lake,"Raquette Lake, NY",Cape Vincent,"Cape Vincent, NY",Local roads,N/A,N/A,
4,Cape Vincent,"Slightly breezy, clear, calm water",7/23/2016,9:35:00,M,5,NY,L,N,"WB,DB",N,N/A,Y,French Creek,"French Creek, NY",Cape Vincent,"Cape Vincent, NY",Rt 12E,Y,Recreation,
4,Cape Vincent,"Slightly breezy, clear, calm water",7/23/2016,9:40:00,M,2,NY,L,Y,"WB,RW,DB",N,N/A,N,Millers Bay,"Millers Bay, NY",Cape Vincent,"Cape Vincent, NY",Rt 12E,Y,Fishing,
4,Cape Vincent,"Slightly breezy, clear, calm water",7/23/2016,10:15:00,M,2,NY,L,Y,"WB,RW",N,N/A,N,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,Y,Recreation,
4,Cape Vincent,"Slightly breezy, clear, calm water",7/23/2016,10:45:00,M,2,MI,R,N,"WB,DB,RW",Y,EG,Y,Alex Bay,Alexandria Bay,1000 Islands State Park,"Thousand Islands State Park, NY",Rt 12E,Y,Recreation,
4,Cape Vincent,"Slightly breezy, clear, calm water",7/23/2016,12:45:00,M,2,NY,R,Y,"WB,DB",N,N/A,N,Burnham Point State Park,"Burnham Point State Park, NY",Oswego,"Oswego, NY",I 81,N,Fishing,
