Steward,Boat Launch,Boat Launch Coords,Weather Conditions,Date,Inspection Time,Boat Type,Group Size,State of Registration,Launch or Retrieve,Prior BLS contact?,Spread Prevention Steps,Aquatic Organisms Found?,Species ID,Accepted Info Materials?,Last Waterbody Visited,Last Waterbody Cleaned,Next Waterbody to Visit,Next Waterbody Cleaned,Planned Travel Route,Would Use a Decontamination Station?,Purpose,Notes,Prev_Step_BB,Prev_Step_CDD,Prev_Step_DB,Prev_Step_DRY,Prev_Step_LW,Prev_Step_None,Prev_Step_RW,Prev_Step_WB,Species_CLP,Species_CT,Species_EG,Species_EL,Species_EWM,Species_NP,Species_Other,Species_UNK,Species_VLM,Species_ZM,Prev_Loc1,Prev_Loc2,Prev_Loc3,Prev_Loc4,Prev_Loc5,Prev_Coord1,Prev_Coord2,Prev_Coord3,Prev_Coord4,Next_Loc1,Next_Loc2,Next_Loc3,Next_Coord1,Next_Coord2,Next_Coord3
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear, breezy, water a little choppy",2016-06-24,0 days 11:45:00.000000000,M,2,NY,L,Y,CDD,N,,Y,Cape Vincent,"Cape Vincent, NY",Local,Undecided,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cape Vincent, NY",None,None,None,None,"(44.125494, -76.33046406316765)",nan,nan,nan,Undecided,None,None,nan,nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear, breezy, water a little choppy",2016-06-24,0 days 13:20:00.000000000,M,2,NY,L,Y,CDD,N,,N,Cape Vincent,"Cape Vincent, NY",Local,Undecided,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cape Vincent, NY",None,None,None,None,"(44.125494, -76.33046406316765)",nan,nan,nan,Undecided,None,None,nan,nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear, breezy, water a little choppy",2016-06-24,0 days 13:20:00.000000000,M,1,NY,R,,CDD,Y,CLP,Y,Cape Vincent,"Cape Vincent, NY",Local,Undecided,,,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Cape Vincent, NY",None,None,None,None,"(44.125494, -76.33046406316765)",nan,nan,nan,Undecided,None,None,nan,nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear, breezy, water a little choppy",2016-06-24,0 days 14:40:00.000000000,M,5,NY,R,N,CDD,N,,N,None,None,"Montreal, Canada","Montreal, Canada",,,, Lives in Canada,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None,None,nan,nan,nan,nan,"Montreal, Canada",None,None,nan,nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear, breezy, water a little choppy",2016-06-24,0 days 15:00:00.000000000,M,2,NY,R,Y,"CDD,RW,BB",N,,N,Lake Ontario,Lake Ontario,Not specified,Undecided,,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Lake Ontario,None,None,None,None,"(43.76012025, -77.68316035176696)",nan,nan,nan,Undecided,None,None,nan,nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear, breezy, water a little choppy",2016-06-24,0 days 15:10:00.000000000,M,2,VA,R,N,None,Y,CLP,Y,Pt. Pleasant|Clayton,"Pt. Pleasant, NY|Clayton, NY",Millers Bay,"Millers Bay, NY",Rt 12E,,,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"Pt. Pleasant, NY","Clayton, NY",None,None,None,"(42.2383912, -79.4944915)","(44.239491, -76.085776)",nan,nan,"Millers Bay, NY",None,None,"(43.3257297, -78.4657818)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear, breezy, water a little choppy",2016-06-24,0 days 15:45:00.000000000,S,3,NY,L,N,CDD,N,,Y,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,,, Part of Cape Vincent's re-enactment troupe,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cape Vincent, NY",None,None,None,None,"(44.125494, -76.33046406316765)",nan,nan,nan,"Cape Vincent, NY",None,None,"(44.125494, -76.33046406316765)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear, calm water",2016-06-25,0 days 10:10:00.000000000,M,2,NY,L,Y,CDD,N,,N,Cape Vincent,"Cape Vincent, NY",Clayton,"Clayton, NY",By Water,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cape Vincent, NY",None,None,None,None,"(44.125494, -76.33046406316765)",nan,nan,nan,"Clayton, NY",None,None,"(44.239491, -76.085776)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear, calm water",2016-06-25,0 days 10:50:00.000000000,M,2,NY,L,Y,CDD,N,,Y,,,Cape Vincent,"Cape Vincent, NY",Local roads,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Cape Vincent, NY",None,None,"(44.125494, -76.33046406316765)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear, calm water",2016-06-25,0 days 11:45:00.000000000,M,3,NY,L,Y,CDD,N,,Y,Lake Ontario,Lake Ontario,Oswego Harbor,"Oswego Harbor, NY",Rt 3,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lake Ontario,None,None,None,None,"(43.76012025, -77.68316035176696)",nan,nan,nan,"Oswego Harbor, NY",None,None,nan,nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear, calm water",2016-06-25,0 days 12:40:00.000000000,M,3,NY,L,N,WB,N,,N,Cape Vincent,"Cape Vincent, NY",Local,Undecided,Local roads,,, stays in town,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Cape Vincent, NY",None,None,None,None,"(44.125494, -76.33046406316765)",nan,nan,nan,Undecided,None,None,nan,nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear, calm water",2016-06-25,0 days 12:50:00.000000000,M,1,NY,L,N,"RW,DRY",N,,N,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Cape Vincent, NY",None,None,None,None,"(44.125494, -76.33046406316765)",nan,nan,nan,"Cape Vincent, NY",None,None,"(44.125494, -76.33046406316765)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear, calm water",2016-06-25,0 days 13:25:00.000000000,M,2,NY,R,Y,"DB,WB",N,,N,Millers Bay,"Millers Bay, NY",Cape Vincent,"Cape Vincent, NY",Local roads,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Millers Bay, NY",None,None,None,None,"(43.3257297, -78.4657818)",nan,nan,nan,"Cape Vincent, NY",None,None,"(44.125494, -76.33046406316765)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear, calm water",2016-06-25,0 days 13:40:00.000000000,M,2,NY,L,N,CDD,N,,Y,Cape Vincent,"Cape Vincent, NY",Millers Bay,"Millers Bay, NY",Local roads,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cape Vincent, NY",None,None,None,None,"(44.125494, -76.33046406316765)",nan,nan,nan,"Millers Bay, NY",None,None,"(43.3257297, -78.4657818)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear, calm water",2016-06-25,0 days 14:50:00.000000000,M,1,NY,R,N,"DB,WB",Y,EWM,Y,,,,,,,, Boater would not answer some of the questions,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear, calm water",2016-06-25,0 days 15:15:00.000000000,K,2,NY,R,Y,DB,N,,Y,Cape Vincent,"Cape Vincent, NY",,,9 (County Rd),,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cape Vincent, NY",None,None,None,None,"(44.125494, -76.33046406316765)",nan,nan,nan,nan,nan,nan,nan,nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear, calm water",2016-06-25,0 days 16:10:00.000000000,PWC,3,NY,L,N,CDD,N,,Y,Millers Bay,"Millers Bay, NY",Cape Vincent,"Cape Vincent, NY",Rt 12E,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Millers Bay, NY",None,None,None,None,"(43.3257297, -78.4657818)",nan,nan,nan,"Cape Vincent, NY",None,None,"(44.125494, -76.33046406316765)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Hazey, water fairly calm",2016-06-26,0 days 10:45:00.000000000,M,2,DL,L,N,CDD,N,,Y,Henderson|Mud Bay,"Henderson Harbor, NY|Mud Bay, NY",St. Lawrence River,St. Lawrence River,By Water,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Henderson Harbor, NY","Mud Bay, NY",None,None,None,"(43.8647846, -76.2018719)","(45.3840304, -122.75742369078506)",nan,nan,St. Lawrence River,None,None,"(47.249291, -70.4316142)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Hazey, water fairly calm",2016-06-26,0 days 11:10:00.000000000,M,2,NY,L,Y,CDD,N,,Y,Cape Vincent,"Cape Vincent, NY",Not specified,Undecided,Local roads,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cape Vincent, NY",None,None,None,None,"(44.125494, -76.33046406316765)",nan,nan,nan,Undecided,None,None,nan,nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Hazey, water fairly calm",2016-06-26,0 days 11:30:00.000000000,M,3,PA,R,Y,CDD,N,,N,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,,, Boater stays in Cape Vincent,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cape Vincent, NY",None,None,None,None,"(44.125494, -76.33046406316765)",nan,nan,nan,"Cape Vincent, NY",None,None,"(44.125494, -76.33046406316765)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Hazey, water fairly calm",2016-06-26,0 days 12:50:00.000000000,M,2,NY,L,N,CDD,N,,Y,,,Cape Vincent|Millers Bay,"Cape Vincent, NY|Millers Bay, NY",Local roads,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Cape Vincent, NY","Millers Bay, NY",None,"(44.125494, -76.33046406316765)","(43.3257297, -78.4657818)",nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Hazey, water fairly calm",2016-06-26,0 days 13:45:00.000000000,M,3,NY,R,Y,CDD,N,,N,Mud Bay,"Mud Bay, NY",Cape Vincent,"Cape Vincent, NY",Local roads,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mud Bay, NY",None,None,None,None,"(45.3840304, -122.75742369078506)",nan,nan,nan,"Cape Vincent, NY",None,None,"(44.125494, -76.33046406316765)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Sunny, low breeze, calm water",2016-07-01,0 days 14:10:00.000000000,M,2,NY,L,Y,CDD,N,,N,Mud Bay,"Mud Bay, NY",Cape Vincent,"Cape Vincent, NY",Rt 12E and Rt 3,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mud Bay, NY",None,None,None,None,"(45.3840304, -122.75742369078506)",nan,nan,nan,"Cape Vincent, NY",None,None,"(44.125494, -76.33046406316765)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Sunny, low breeze, calm water",2016-07-01,0 days 11:10:00.000000000,M,3,NY,L,N,DB,N,,N,Cape Vincent|St. Lawrence River,"Cape Vincent, NY|St. Lawrence River",Cape Vincent|St. Lawrence River,"Cape Vincent, NY|St. Lawrence River",Rt 12E,Y,Recreation,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cape Vincent, NY",St. Lawrence River,None,None,None,"(44.125494, -76.33046406316765)","(47.249291, -70.4316142)",nan,nan,"Cape Vincent, NY",St. Lawrence River,None,"(44.125494, -76.33046406316765)","(47.249291, -70.4316142)",nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Sunny, low breeze, calm water",2016-07-01,0 days 11:15:00.000000000,M,2,NY,R,Y,CDD,N,,N,Cape Vincent|St. Lawrence River,"Cape Vincent, NY|St. Lawrence River",Cape Vincent|St. Lawrence River,"Cape Vincent, NY|St. Lawrence River",Rt 12,N,Recreation,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cape Vincent, NY",St. Lawrence River,None,None,None,"(44.125494, -76.33046406316765)","(47.249291, -70.4316142)",nan,nan,"Cape Vincent, NY",St. Lawrence River,None,"(44.125494, -76.33046406316765)","(47.249291, -70.4316142)",nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Sunny, low breeze, calm water",2016-07-01,0 days 11:30:00.000000000,M,1,NY,R,Y,CDD,N,,N,St. Lawrence River,St. Lawrence River,"Henderson, Lake Ontario","Henderson Harbor, NY",Rt 12 and Rt 3,N,Fishing,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,St. Lawrence River,None,None,None,None,"(47.249291, -70.4316142)",nan,nan,nan,"Henderson Harbor, NY",None,None,"(43.8647846, -76.2018719)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Sunny, low breeze, calm water",2016-07-01,0 days 11:45:00.000000000,M,4,NY,R,N,DRY,Y,CLP,Y,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,Y,Recreation,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Cape Vincent, NY",None,None,None,None,"(44.125494, -76.33046406316765)",nan,nan,nan,"Cape Vincent, NY",None,None,"(44.125494, -76.33046406316765)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Sunny, low breeze, calm water",2016-07-01,0 days 11:50:00.000000000,M,2,NY,L,Y,CDD,N,,Y,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,N,Recreation,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cape Vincent, NY",None,None,None,None,"(44.125494, -76.33046406316765)",nan,nan,nan,"Cape Vincent, NY",None,None,"(44.125494, -76.33046406316765)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Sunny, low breeze, calm water",2016-07-01,0 days 12:30:00.000000000,M,2,NY,R,Y,RW,N,,N,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,N,Recreation,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Cape Vincent, NY",None,None,None,None,"(44.125494, -76.33046406316765)",nan,nan,nan,"Cape Vincent, NY",None,None,"(44.125494, -76.33046406316765)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Sunny, low breeze, calm water",2016-07-01,0 days 12:30:00.000000000,M,3,NY,L,N,None,N,,Y,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,N,Recreation,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Cape Vincent, NY",None,None,None,None,"(44.125494, -76.33046406316765)",nan,nan,nan,"Cape Vincent, NY",None,None,"(44.125494, -76.33046406316765)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Sunny, low breeze, calm water",2016-07-01,0 days 13:15:00.000000000,M,2,NY,L,N,"WB,DB",N,,N,,,Cape Vincent,"Cape Vincent, NY",Local roads,N,Recreation, Boater stays in docks,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Cape Vincent, NY",None,None,"(44.125494, -76.33046406316765)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Sunny, low breeze, calm water",2016-07-01,0 days 13:20:00.000000000,PWC,2,NY,L,N,"RW,WB",N,,N,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,N,Recreation,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Cape Vincent, NY",None,None,None,None,"(44.125494, -76.33046406316765)",nan,nan,nan,"Cape Vincent, NY",None,None,"(44.125494, -76.33046406316765)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Sunny, low breeze, calm water",2016-07-01,0 days 14:00:00.000000000,M,5,NY,L,N,None,N,,N,,,,,,,Recreation,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","20 mph winds, somewhat cloudy, whitecaps everywhere",2016-07-02,0 days 13:20:00.000000000,PWC,3,NY,L,Y,CDD,N,,N,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,Y,Recreation, Small craft advisory through Sunday ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cape Vincent, NY",None,None,None,None,"(44.125494, -76.33046406316765)",nan,nan,nan,"Cape Vincent, NY",None,None,"(44.125494, -76.33046406316765)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","20 mph winds, somewhat cloudy, whitecaps everywhere",2016-07-02,0 days 13:45:00.000000000,M,3,NY,L,N,"WB,DB",N,,Y,Mud Bay,"Mud Bay, NY",Clayton,"Clayton, NY",Rt 12E,Y,Recreation,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Mud Bay, NY",None,None,None,None,"(45.3840304, -122.75742369078506)",nan,nan,nan,"Clayton, NY",None,None,"(44.239491, -76.085776)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","20 mph winds, somewhat cloudy, whitecaps everywhere",2016-07-02,0 days 15:15:00.000000000,PWC,1,NY,L,N,None,N,,Y,Cape Vincent,"Cape Vincent, NY",Lake Ontario,Lake Ontario,Rt 3,Y,Recreation,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Cape Vincent, NY",None,None,None,None,"(44.125494, -76.33046406316765)",nan,nan,nan,Lake Ontario,None,None,"(43.76012025, -77.68316035176696)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","20 mph winds, somewhat cloudy, whitecaps everywhere",2016-07-02,0 days 15:30:00.000000000,M,2,NY,L,Y,"WB,DB",N,,Y,Clayton|Millers Bay,"Clayton, NY|Millers Bay, NY",Alexandria Bay,Alexandria Bay,By Water,Y,Recreation,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Clayton, NY","Millers Bay, NY",None,None,None,"(44.239491, -76.085776)","(43.3257297, -78.4657818)",nan,nan,Alexandria Bay,None,None,"(44.336127, -75.917931)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear, warm, calm water",2016-07-03,0 days 09:05:00.000000000,M,3,NY,L,N,"DB,WB",N,,N,Alex Bay,Alexandria Bay,Clayton,"Clayton, NY",Rt 12E,N,Recreation,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Alexandria Bay,None,None,None,None,"(44.336127, -75.917931)",nan,nan,nan,"Clayton, NY",None,None,"(44.239491, -76.085776)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Sunny, clear, slight breeze, calm water",2016-07-03,0 days 11:00:00.000000000,M,2,NY,L,Y,CDD,N,,N,Burnham Point State Park,"Burnham Point State Park, NY",Henderson,"Henderson Harbor, NY",Rt 12 and Rt 3,Y,Recreation,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Burnham Point State Park, NY",None,None,None,None,"(44.1625978, -76.26461580237577)",nan,nan,nan,"Henderson Harbor, NY",None,None,"(43.8647846, -76.2018719)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear, warm, calm water",2016-07-03,0 days 09:07:00.000000000,PWC,2,NY,L,N,"DB,WB",N,,N,Burnham Point State Park,"Burnham Point State Park, NY",Alex Bay,Alexandria Bay,Rt 12E,N,Recreation,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Burnham Point State Park, NY",None,None,None,None,"(44.1625978, -76.26461580237577)",nan,nan,nan,Alexandria Bay,None,None,"(44.336127, -75.917931)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Sunny, clear, slight breeze, calm water",2016-07-03,0 days 11:05:00.000000000,PWC,3,NY,L,N,"WB,DRY",N,,N,Alex Bay,Alexandria Bay,Clayton,"Clayton, NY",By Water,N,Recreation,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Alexandria Bay,None,None,None,None,"(44.336127, -75.917931)",nan,nan,nan,"Clayton, NY",None,None,"(44.239491, -76.085776)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear, warm, calm water",2016-07-03,0 days 09:20:00.000000000,M,2,NY,L,Y,WB,N,,Y,Cape Vincent,"Cape Vincent, NY",Alex Bay,Alexandria Bay,Rt 12E,N,Recreation,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Cape Vincent, NY",None,None,None,None,"(44.125494, -76.33046406316765)",nan,nan,nan,Alexandria Bay,None,None,"(44.336127, -75.917931)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Sunny, clear, slight breeze, calm water",2016-07-03,0 days 11:10:00.000000000,M,2,NY,L,Y,CDD,N,,N,Cape Vincent,"Cape Vincent, NY",Carleton Island,"Carleton Island, NY",By Water,N,Recreation,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cape Vincent, NY",None,None,None,None,"(44.125494, -76.33046406316765)",nan,nan,nan,"Carleton Island, NY",None,None,nan,nan,nan
