Steward,Boat Launch,Weather Conditions,Date,Inspection Time,Boat Type,Group Size,State of Registration,Launch or Retrieve,Prior BLS contact?,Spread Prevention Steps,Aquatic Organisms Found?,Species ID,Accepted Info Materials?,Last Waterbody Visited,Last Waterbody Cleaned,Next Waterbody to Visit,Next Waterbody Cleaned,Planned Travel Route,Would Use a Decontamination Station?,Purpose,Notes,prev_step_BB,prev_step_CDD,prev_step_DB,prev_step_DRY,prev_step_LW,prev_step_None,prev_step_RW,prev_step_WB,species_CLP,species_CT,species_EG,species_EL,species_EWM,species_NP,species_Other,species_UNK,species_VLM,species_ZM,Boat Launch Coords,Prev_Loc1,Prev_Loc2,Prev_Loc3,Prev_Loc4,Prev_Loc5,Prev_Coord1,Prev_Coord2,Prev_Coord3,Prev_Coord4,Next_Loc1,Next_Loc2,Next_Loc3,Next_Coord1,Next_Coord2,Next_Coord3
4,Cape Vincent,"Clear, breezy, water a little choppy",6/24/2016,11:45,M,2,NY,L,Y,CDD,N,,Y,Cape Vincent,"Cape Vincent, NY",Local,Undecided,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Cape Vincent, NY",,,,,"(44.125494, -76.33046406316765)",,,,Undecided,,,,,
4,Cape Vincent,"Clear, breezy, water a little choppy",6/24/2016,13:20,M,2,NY,L,Y,CDD,N,,N,Cape Vincent,"Cape Vincent, NY",Local,Undecided,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Cape Vincent, NY",,,,,"(44.125494, -76.33046406316765)",,,,Undecided,,,,,
4,Cape Vincent,"Clear, breezy, water a little choppy",6/24/2016,13:20,M,1,NY,R,,CDD,Y,CLP,Y,Cape Vincent,"Cape Vincent, NY",Local,Undecided,,,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Cape Vincent, NY",,,,,"(44.125494, -76.33046406316765)",,,,Undecided,,,,,
4,Cape Vincent,"Clear, breezy, water a little choppy",6/24/2016,14:40,M,5,NY,R,N,CDD,N,,N,None,None,"Montreal, Canada","Montreal, Canada",,,, Lives in Canada,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)",None,,,,,,,,,"Montreal, Canada",,,"(45.4972159, -73.6103642)",,
4,Cape Vincent,"Clear, breezy, water a little choppy",6/24/2016,15:00,M,2,NY,R,Y,"CDD,RW,BB",N,,N,Lake Ontario,Lake Ontario,Not specified,Undecided,,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)",Lake Ontario,,,,,"(43.76012025, -77.68316035176696)",,,,Undecided,,,,,
4,Cape Vincent,"Clear, breezy, water a little choppy",6/24/2016,15:10,M,2,VA,R,N,None,Y,CLP,Y,Pt. Pleasant|Clayton,"Pt. Pleasant, NY|Clayton, NY",Millers Bay,"Millers Bay, NY",Rt 12E,,,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Pt. Pleasant, NY","Clayton, NY",,,,"(42.2383912, -79.4944915)","(44.239491, -76.085776)",,,"Millers Bay, NY",,,"(43.3257297, -78.4657818)",,
4,Cape Vincent,"Clear, breezy, water a little choppy",6/24/2016,15:45,S,3,NY,L,N,CDD,N,,Y,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,,, Part of Cape Vincent's re-enactment troupe,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Cape Vincent, NY",,,,,"(44.125494, -76.33046406316765)",,,,"Cape Vincent, NY",,,"(44.125494, -76.33046406316765)",,
4,Cape Vincent,"Clear, calm water",6/25/2016,10:10,M,2,NY,L,Y,CDD,N,,N,Cape Vincent,"Cape Vincent, NY",Clayton,"Clayton, NY",By Water,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Cape Vincent, NY",,,,,"(44.125494, -76.33046406316765)",,,,"Clayton, NY",,,"(44.239491, -76.085776)",,
4,Cape Vincent,"Clear, calm water",6/25/2016,10:50,M,2,NY,L,Y,CDD,N,,Y,,,Cape Vincent,"Cape Vincent, NY",Local roads,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)",,,,,,,,,,"Cape Vincent, NY",,,"(44.125494, -76.33046406316765)",,
4,Cape Vincent,"Clear, calm water",6/25/2016,11:45,M,3,NY,L,Y,CDD,N,,Y,Lake Ontario,Lake Ontario,Oswego Harbor,"Oswego Harbor, NY",Rt 3,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)",Lake Ontario,,,,,"(43.76012025, -77.68316035176696)",,,,"Oswego Harbor, NY",,,"(43.45712035, -76.53037298635216)",,
4,Cape Vincent,"Clear, calm water",6/25/2016,12:40,M,3,NY,L,N,WB,N,,N,Cape Vincent,"Cape Vincent, NY",Local,Undecided,Local roads,,, stays in town,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Cape Vincent, NY",,,,,"(44.125494, -76.33046406316765)",,,,Undecided,,,,,
4,Cape Vincent,"Clear, calm water",6/25/2016,12:50,M,1,NY,L,N,"RW,DRY",N,,N,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Cape Vincent, NY",,,,,"(44.125494, -76.33046406316765)",,,,"Cape Vincent, NY",,,"(44.125494, -76.33046406316765)",,
4,Cape Vincent,"Clear, calm water",6/25/2016,13:25,M,2,NY,R,Y,"DB,WB",N,,N,Millers Bay,"Millers Bay, NY",Cape Vincent,"Cape Vincent, NY",Local roads,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Millers Bay, NY",,,,,"(43.3257297, -78.4657818)",,,,"Cape Vincent, NY",,,"(44.125494, -76.33046406316765)",,
4,Cape Vincent,"Clear, calm water",6/25/2016,13:40,M,2,NY,L,N,CDD,N,,Y,Cape Vincent,"Cape Vincent, NY",Millers Bay,"Millers Bay, NY",Local roads,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Cape Vincent, NY",,,,,"(44.125494, -76.33046406316765)",,,,"Millers Bay, NY",,,"(43.3257297, -78.4657818)",,
4,Cape Vincent,"Clear, calm water",6/25/2016,14:50,M,1,NY,R,N,"DB,WB",Y,EWM,Y,,,,,,,, Boater would not answer some of the questions,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"(44.125494, -76.33046406316765)",,,,,,,,,,,,,,,
4,Cape Vincent,"Clear, calm water",6/25/2016,15:15,K,2,NY,R,Y,DB,N,,Y,Cape Vincent,"Cape Vincent, NY",,,9 (County Rd),,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Cape Vincent, NY",,,,,"(44.125494, -76.33046406316765)",,,,,,,,,
4,Cape Vincent,"Clear, calm water",6/25/2016,16:10,PWC,3,NY,L,N,CDD,N,,Y,Millers Bay,"Millers Bay, NY",Cape Vincent,"Cape Vincent, NY",Rt 12E,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Millers Bay, NY",,,,,"(43.3257297, -78.4657818)",,,,"Cape Vincent, NY",,,"(44.125494, -76.33046406316765)",,
4,Cape Vincent,"Hazey, water fairly calm",6/26/2016,10:45,M,2,DL,L,N,CDD,N,,Y,Henderson|Mud Bay,"Henderson Harbor, NY|Mud Bay, NY",St. Lawrence River,St. Lawrence River,By Water,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Henderson Harbor, NY","Mud Bay, NY",,,,"(43.8647846, -76.2018719)","(45.3840304, -122.75742369078506)",,,St. Lawrence River,,,"(47.249291, -70.4316142)",,
4,Cape Vincent,"Hazey, water fairly calm",6/26/2016,11:10,M,2,NY,L,Y,CDD,N,,Y,Cape Vincent,"Cape Vincent, NY",Not specified,Undecided,Local roads,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Cape Vincent, NY",,,,,"(44.125494, -76.33046406316765)",,,,Undecided,,,,,
4,Cape Vincent,"Hazey, water fairly calm",6/26/2016,11:30,M,3,PA,R,Y,CDD,N,,N,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,,, Boater stays in Cape Vincent,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Cape Vincent, NY",,,,,"(44.125494, -76.33046406316765)",,,,"Cape Vincent, NY",,,"(44.125494, -76.33046406316765)",,
4,Cape Vincent,"Hazey, water fairly calm",6/26/2016,12:50,M,2,NY,L,N,CDD,N,,Y,,,Cape Vincent|Millers Bay,"Cape Vincent, NY|Millers Bay, NY",Local roads,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)",,,,,,,,,,"Cape Vincent, NY","Millers Bay, NY",,"(44.125494, -76.33046406316765)","(43.3257297, -78.4657818)",
4,Cape Vincent,"Hazey, water fairly calm",6/26/2016,13:45,M,3,NY,R,Y,CDD,N,,N,Mud Bay,"Mud Bay, NY",Cape Vincent,"Cape Vincent, NY",Local roads,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Mud Bay, NY",,,,,"(45.3840304, -122.75742369078506)",,,,"Cape Vincent, NY",,,"(44.125494, -76.33046406316765)",,
4,Cape Vincent,"Sunny, low breeze, calm water",7/1/2016,14:10,M,2,NY,L,Y,CDD,N,,N,Mud Bay,"Mud Bay, NY",Cape Vincent,"Cape Vincent, NY",Rt 12E and Rt 3,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Mud Bay, NY",,,,,"(45.3840304, -122.75742369078506)",,,,"Cape Vincent, NY",,,"(44.125494, -76.33046406316765)",,
4,Cape Vincent,"Sunny, low breeze, calm water",7/1/2016,11:10,M,3,NY,L,N,DB,N,,N,Cape Vincent|St. Lawrence River,"Cape Vincent, NY|St. Lawrence River",Cape Vincent|St. Lawrence River,"Cape Vincent, NY|St. Lawrence River",Rt 12E,Y,Recreation,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Cape Vincent, NY",St. Lawrence River,,,,"(44.125494, -76.33046406316765)","(47.249291, -70.4316142)",,,"Cape Vincent, NY",St. Lawrence River,,"(44.125494, -76.33046406316765)","(47.249291, -70.4316142)",
4,Cape Vincent,"Sunny, low breeze, calm water",7/1/2016,11:15,M,2,NY,R,Y,CDD,N,,N,Cape Vincent|St. Lawrence River,"Cape Vincent, NY|St. Lawrence River",Cape Vincent|St. Lawrence River,"Cape Vincent, NY|St. Lawrence River",Rt 12,N,Recreation,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Cape Vincent, NY",St. Lawrence River,,,,"(44.125494, -76.33046406316765)","(47.249291, -70.4316142)",,,"Cape Vincent, NY",St. Lawrence River,,"(44.125494, -76.33046406316765)","(47.249291, -70.4316142)",
4,Cape Vincent,"Sunny, low breeze, calm water",7/1/2016,11:30,M,1,NY,R,Y,CDD,N,,N,St. Lawrence River,St. Lawrence River,"Henderson, Lake Ontario","Henderson Harbor, NY",Rt 12 and Rt 3,N,Fishing,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)",St. Lawrence River,,,,,"(47.249291, -70.4316142)",,,,"Henderson Harbor, NY",,,"(43.8647846, -76.2018719)",,
4,Cape Vincent,"Sunny, low breeze, calm water",7/1/2016,11:45,M,4,NY,R,N,DRY,Y,CLP,Y,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,Y,Recreation,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Cape Vincent, NY",,,,,"(44.125494, -76.33046406316765)",,,,"Cape Vincent, NY",,,"(44.125494, -76.33046406316765)",,
4,Cape Vincent,"Sunny, low breeze, calm water",7/1/2016,11:50,M,2,NY,L,Y,CDD,N,,Y,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,N,Recreation,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Cape Vincent, NY",,,,,"(44.125494, -76.33046406316765)",,,,"Cape Vincent, NY",,,"(44.125494, -76.33046406316765)",,
4,Cape Vincent,"Sunny, low breeze, calm water",7/1/2016,12:30,M,2,NY,R,Y,RW,N,,N,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,N,Recreation,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Cape Vincent, NY",,,,,"(44.125494, -76.33046406316765)",,,,"Cape Vincent, NY",,,"(44.125494, -76.33046406316765)",,
4,Cape Vincent,"Sunny, low breeze, calm water",7/1/2016,12:30,M,3,NY,L,N,None,N,,Y,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,N,Recreation,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Cape Vincent, NY",,,,,"(44.125494, -76.33046406316765)",,,,"Cape Vincent, NY",,,"(44.125494, -76.33046406316765)",,
4,Cape Vincent,"Sunny, low breeze, calm water",7/1/2016,13:15,M,2,NY,L,N,"WB,DB",N,,N,,,Cape Vincent,"Cape Vincent, NY",Local roads,N,Recreation, Boater stays in docks,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)",,,,,,,,,,"Cape Vincent, NY",,,"(44.125494, -76.33046406316765)",,
4,Cape Vincent,"Sunny, low breeze, calm water",7/1/2016,13:20,PWC,2,NY,L,N,"RW,WB",N,,N,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,N,Recreation,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Cape Vincent, NY",,,,,"(44.125494, -76.33046406316765)",,,,"Cape Vincent, NY",,,"(44.125494, -76.33046406316765)",,
4,Cape Vincent,"Sunny, low breeze, calm water",7/1/2016,14:00,M,5,NY,L,N,None,N,,N,,,,,,,Recreation,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)",,,,,,,,,,,,,,,
4,Cape Vincent,"20 mph winds, somewhat cloudy, whitecaps everywhere",7/2/2016,13:20,PWC,3,NY,L,Y,CDD,N,,N,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,Y,Recreation, Small craft advisory through Sunday ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Cape Vincent, NY",,,,,"(44.125494, -76.33046406316765)",,,,"Cape Vincent, NY",,,"(44.125494, -76.33046406316765)",,
4,Cape Vincent,"20 mph winds, somewhat cloudy, whitecaps everywhere",7/2/2016,13:45,M,3,NY,L,N,"WB,DB",N,,Y,Mud Bay,"Mud Bay, NY",Clayton,"Clayton, NY",Rt 12E,Y,Recreation,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Mud Bay, NY",,,,,"(45.3840304, -122.75742369078506)",,,,"Clayton, NY",,,"(44.239491, -76.085776)",,
4,Cape Vincent,"20 mph winds, somewhat cloudy, whitecaps everywhere",7/2/2016,15:15,PWC,1,NY,L,N,None,N,,Y,Cape Vincent,"Cape Vincent, NY",Lake Ontario,Lake Ontario,Rt 3,Y,Recreation,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Cape Vincent, NY",,,,,"(44.125494, -76.33046406316765)",,,,Lake Ontario,,,"(43.76012025, -77.68316035176696)",,
4,Cape Vincent,"20 mph winds, somewhat cloudy, whitecaps everywhere",7/2/2016,15:30,M,2,NY,L,Y,"WB,DB",N,,Y,Clayton|Millers Bay,"Clayton, NY|Millers Bay, NY",Alexandria Bay,Alexandria Bay,By Water,Y,Recreation,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Clayton, NY","Millers Bay, NY",,,,"(44.239491, -76.085776)","(43.3257297, -78.4657818)",,,Alexandria Bay,,,"(44.336127, -75.917931)",,
4,Cape Vincent,"Clear, warm, calm water",7/3/2016,9:05,M,3,NY,L,N,"DB,WB",N,,N,Alex Bay,Alexandria Bay,Clayton,"Clayton, NY",Rt 12E,N,Recreation,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)",Alexandria Bay,,,,,"(44.336127, -75.917931)",,,,"Clayton, NY",,,"(44.239491, -76.085776)",,
4,Cape Vincent,"Sunny, clear, slight breeze, calm water",7/3/2016,11:00,M,2,NY,L,Y,CDD,N,,N,Burnham Point State Park,"Burnham Point State Park, NY",Henderson,"Henderson Harbor, NY",Rt 12 and Rt 3,Y,Recreation,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Burnham Point State Park, NY",,,,,"(44.1625978, -76.26461580237577)",,,,"Henderson Harbor, NY",,,"(43.8647846, -76.2018719)",,
4,Cape Vincent,"Clear, warm, calm water",7/3/2016,9:07,PWC,2,NY,L,N,"DB,WB",N,,N,Burnham Point State Park,"Burnham Point State Park, NY",Alex Bay,Alexandria Bay,Rt 12E,N,Recreation,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Burnham Point State Park, NY",,,,,"(44.1625978, -76.26461580237577)",,,,Alexandria Bay,,,"(44.336127, -75.917931)",,
4,Cape Vincent,"Sunny, clear, slight breeze, calm water",7/3/2016,11:05,PWC,3,NY,L,N,"WB,DRY",N,,N,Alex Bay,Alexandria Bay,Clayton,"Clayton, NY",By Water,N,Recreation,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)",Alexandria Bay,,,,,"(44.336127, -75.917931)",,,,"Clayton, NY",,,"(44.239491, -76.085776)",,
4,Cape Vincent,"Clear, warm, calm water",7/3/2016,9:20,M,2,NY,L,Y,WB,N,,Y,Cape Vincent,"Cape Vincent, NY",Alex Bay,Alexandria Bay,Rt 12E,N,Recreation,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Cape Vincent, NY",,,,,"(44.125494, -76.33046406316765)",,,,Alexandria Bay,,,"(44.336127, -75.917931)",,
4,Cape Vincent,"Sunny, clear, slight breeze, calm water",7/3/2016,11:10,M,2,NY,L,Y,CDD,N,,N,Cape Vincent,"Cape Vincent, NY",Carleton Island,"Carleton Island, NY",By Water,N,Recreation,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Cape Vincent, NY",,,,,"(44.125494, -76.33046406316765)",,,,"Carleton Island, NY",,,"(44.178832150000005, -76.28743354553879)",,
4,Cape Vincent,"Clear, warm, calm water",7/3/2016,9:30,M,3,NY,L,Y,"WB,DRY",Y,"CLP,EG,VLM",Y,Oswego,"Oswego, NY",Alex Bay,Alexandria Bay,Rt 12E,N,Recreation,,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,"(44.125494, -76.33046406316765)","Oswego, NY",,,,,"(43.4112973, -76.1279841)",,,,Alexandria Bay,,,"(44.336127, -75.917931)",,
4,Cape Vincent,"Sunny, clear, slight breeze, calm water",7/3/2016,11:15,M,3,NY,L,N,CDD,N,,N,Cape Vincent,"Cape Vincent, NY",Carleton Island,"Carleton Island, NY",By Water,N,Recreation,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Cape Vincent, NY",,,,,"(44.125494, -76.33046406316765)",,,,"Carleton Island, NY",,,"(44.178832150000005, -76.28743354553879)",,
4,Cape Vincent,"Clear, warm, calm water",7/3/2016,10:15,M,2,NY,L,Y,"RW,DB,WB",N,,Y,Mud Bay,"Mud Bay, NY",Carleton Island,"Carleton Island, NY",By Water,Y,Recreation,,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Mud Bay, NY",,,,,"(45.3840304, -122.75742369078506)",,,,"Carleton Island, NY",,,"(44.178832150000005, -76.28743354553879)",,
4,Cape Vincent,"Sunny, clear, slight breeze, calm water",7/3/2016,11:20,M,2,NY,L,N,"WB,BB",N,,Y,Millers Bay,"Millers Bay, NY",Chaumont Bay,"Chaumont Bay, NY",Rt 3,N,Recreation,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Millers Bay, NY",,,,,"(43.3257297, -78.4657818)",,,,"Chaumont Bay, NY",,,"(44.046166, -76.2024302)",,
4,Cape Vincent,"Sunny, clear, slight breeze, calm water",7/3/2016,13:10,K,2,NY,L,N,"DB,WB",N,,Y,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,N,Recreation,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Cape Vincent, NY",,,,,"(44.125494, -76.33046406316765)",,,,"Cape Vincent, NY",,,"(44.125494, -76.33046406316765)",,
4,Cape Vincent,"Clear, warm, calm water",7/3/2016,10:20,M,2,NY,L,Y,DB,Y,"EG,VLM",Y,Black Pond,"Black Pond, NY",Chaumont Bay,"Chaumont Bay, NY",Rt 3,Y,Recreation,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"(44.125494, -76.33046406316765)","Black Pond, NY",,,,,"(42.55036665, -73.47646437867643)",,,,"Chaumont Bay, NY",,,"(44.046166, -76.2024302)",,
